post	gender
"...this little video by rob manuel. AH! it's SO RABID! this little masterpiece is entitled, ""i like bukkake"". if you don't know what bukkake is, don't go around saying it like you know. that's stupid. ask me, because if you search for bukkake on google, you'll get in trouble. you MOM AND DAD might find out!! OOOOH! k.   http://albinoblacksheep.com/flash/bukkake.php  urlLink"	f
Just got news, Jacob will be well enough to go home soon.  The outcome of his fall was a broken ear drum and several contusions of the brain.  They had to induce him into a coma for a while so that he would not cause more damage by fighting the doctors and treatment.  At this point, the doctors are recommending lots of rest and healing.  The only unknown factor will be what, if any, damage his brain injury will bring about.  Only time will tell on that.  Once again, thank you to everyone for their continuous prayers for Jacob and his family!	f
(I can still post!!) =^.^= Should I look in the phone book for chiropracters or just have Famous Chiropracters as my title all the time? Marten: You forget a lot don't you..and why wouldn't I make a good minion?! I am very..umm.. miniony..? Minionish...?...I bet you just dont't want me telling mom about what you talk about to your friends. Whoever said all my posts were supposed to be funny...I'll cry if I get kicked off... Jonah: I want a spork of doom too. Sophia: Kubble Bubbles is a funny kitty! I wuvvles him so much! SQ(u)EE!	f
"""I think that people are standing mute, and I remember the rabbi in the March on Washingtom program.  He said that the greatest sin of all in the Nazi era was silence.  He had been in a concentration camp for many years.  People have got to, they must speak up now or forever hold their peace.""  -- Helen Thomas,  urlLink 9 of Clubs in NewsMax.com's Deck of Weasels"	m
blah blah no one is on	f
"RAMBLING INCOHERENCE by Jason Latour     Well, it's another late Sunday nightor Monday morning, ratherand I have decided to write, the response to which I understand causes great rejoicing by the Iraqi people. Honestly I mean not to get into all that war talk again, but what doesn't cause the Iraqi people to rejoice anymore? It's like its free chalupa time at Taco Bell everyday, all day, over there now. Well, at least according to CNN, it is. I think what the Iraqi people need right now is some good service-station-brand ripple to celebrate with. I mean honestly, ripple is always cause for cheerespecially strawberry ripple.   Mmmm ripple...  As long as I'm RAMBLING INCOHERENT-ly, I saw on Bill Mahr a while back that Texas is trying to increase the laws against sodomy in their statemaking it punishable by death or something ridiculous like that. For those of you that don't know, ""sodomy"" is defined as:   ""Any of various forms of sexual intercourse held to be unnatural or abnormal, especially anal intercourse or bestiality.""  The notion of outlawing sodomy, is in my mind,ridiculous becausehonestlywho defines what is deviant and what's not? Some people might think letting the woman get on top or doing it ""doggy"" style is deviant. Or strapping on a Louisville Slugger and strangling your partner to the sound of Beethoven's Fifth symphony--- honestly, who among us hasn't wanted to donkey punch our lover now and then? It might be rude but it's certainly not illegal or immoral activity in my eyes. Just stay away from the kids and barnyard animals and you're okay in my book, I guess. But that said, I would probably have sex with a cow, if it had a nice ass and some big sexy breasts...  It brings up the age-old question of who defines what is immoral for another? Take for example myself. I'm the ripe old age of 26, which in my new found home of Gainesville, Florida, is looked upon as being about the equvialent of Yoda or that old guy with the booger finger from THE GOLDEN CHILD. Being a 26-year-old man in a town populated by beautiful, sexually ripe 1821-year-old women is hard on the constitution. It's unbelievable. Now, I used to say, ""I'd never touch a high school girl""which basically the freshmen girls around here still arebut when it's in your faceand I mean literally in your faceman, let's just say the temptation is GREAT. So great that it makes me want to grab a bottle of that aforementioned strawberry ripple and get REALLY REALLY REALLY schnauzelled. Because under the influence, we all know that it's okay to just say that you didn't know. But then you're entering Kobe Bryant territory and no one wants that.   Ah, Kobe. The whole thing is mind-numbingly stupid. I thought he was a giant idiot when I first heard he married a 19-year-old who was fresh out of high school. When you live in a world where fame and popularity determine sex status so mightily that Demi Moore is jumping Aston Kutcher, you just don't marry a 19-year-old girl (no matter how hot she is)! Then to make matters worse, once you get tired of that ""old hag"" you've got at home, you jump the first preteen beer-tub girl that slants you the sweet eye. And then he either forces her to have sex with him (when we all know that there are millions of hot young women out there who would do it for free) or he just gets way ""too"" freaky (based on the bruises and missing hairs and such) and she can't take it when he leaves. When you're in the the public eye you just don't do that stuff. My advice to Kobe in the future is: if you can't keep in holstered then follow the lead of our mutual idol, Michael Jordan. Keep it on the DL with older women who know the deal. A 30-year-old basketball groupie isn't running home crying to her parentsno matter what happens. She's two-way paging her girlfriends to brag about the new Benzo she's pushing with the money you fronted her to keep quiet. Now I know this sounds hypocritical coming from me based on what I said earlier, but you have to realize that Kobe and I ain't exactly playing on the same ball field. He's in the majors and I'm slumming in the optimist league.   So, what did we learn today? That if if you're travelling to Texas and you have a pention for sex with underage barnyard life don't be a Kobekeep it on the down low!"	m
"Well, I had fun. I did surprisingly well on recognizing people without having to read their name tags first (although there were a couple of ""no waayyyssss""). I only signed up for last night, but am seriously considering going to the dinner/dance tonight.  Yes, I carried my camera around all night and here's the lone picture my mother took of Sandy and I before we left:    urlLink     Not to worry. There were lots of camera flashes going off and I am certain I'll be able to steal some from the official reunion website."	f
The funny thing is, I wouldn't have picked to live here. Like many things in my life, it just sorta happened, and I have learned to live with it. Only this time, I've come to love it. I seem able to do that quite a lot - is that part of the easygoing Pisces thing? I dunno. And it's only cold here in the winter - right now, it's anything but. Beautiful, actually. I've had all the windows open all weekend. Except for the bedroom ones, because they're right by the door to the building, and that's none of anyone's business....  Yeah, the whole tollway thing sucks. The first time I drove home to Ohio, I took the Skyway, which was a TWO DOLLAR TOLL!!! I was stunned. I'll have to tell the cop story from that trip sometime, too. I think of it as they charge money to leave, too. The cool thing is that I'm learning how to go around the tolls..... All sorts of surface streets!  Yeah, well when you think about all the icky animal stuff I bring home on a daily basis, I'm not real worried about your contribution. :) As far as finding you, well.... I'm smarter than I look. And you can search on gender, age, and location. And I recognized the speech pattern, before I even saw the pics. Funny, huh?	f
Stupid Davida Comments of 6/30  stupid davida comments of the night... ~Look at those fat guys rolling around in the snow trying to get to the food first...whoop there goes the buttcrack ~i am i just dont care enough to do anything abt them ~look im jacking off the sword ~look! im a steamer...its kinda like im a lil teapot, just add water ~you can have stylin rims, you just blow! ~I can be urs for $50, call now and get the 9 attachments ~shimme with me hannah, shimmie with me ~convenient enough for a quick f_ _ k? ~im not wearing underwear and thesae are your shorts ~makes me feel amazon ~cupcake...she got that from ernie ~hahaha my name is bert hahahahahaha  stolen from hannahs blog.... but now for the explanation  1. i was watching viva la bam and they have fat boy face off and don vito pulled down phil's pants in the race 2.that one even i dont understand 3. there was tin foil on the sword and i kept slipping it off and on.... not making it any better 4. we were watching the commercial and they had this super cool steamer on and i really wanted to be it so i was all excited and just randomly talking..... not knowing hannah was writing it all down 5. they cleaned off the rims of the car with the steamer... so i told hannah she could have stylin rims.. all you had to do is blow ( with the steamer!!! ) 6.again... the steamer commercial 7.first of all its shimmy...i think.... and i was dancing and everyone knows its no fun to dance alone 8. that was on tv!!! the nanny 9. i was talking to someone on hannahs screen name and she wouldnt let me finish typing 10.ok so hannah said ernie and then i offered her a cupcake but she didnt see the cupcake 11. hahahahahaha my name is bert hahahahaha ernie!!	f
Sometime back in May 2003 I was very low on my spirits and happend to write this thing- one of the only three postings on my previous blog. Just posting it here for my own satisfaction. The questions of our existence, which still remain unanswered to me -  Sometimes in life we get serious, and realize we should have been serious long way back. But I wonder, should anyone get serious at all ? Afterall, it seems we tend to not enjoy the little things which one should in every day life. Or am I overdoing things ? What is the secret to happiness ? Aspire, aim and achieve, or be happy with what one's got ? What do we live for ? What is the final aim ? Is there any ? Is it the satisfaction in cherishing every moment of your life ? Then why cry for something you couldn't achieve instead of being happy within ? Is it so simple ? Or is it out of our comprehension ?  Ankur.	m
"Yesterday as we were walking through The Grove (a shopping mall of sorts), I told Will that he'd better get me a switch for my stocking, as he'd already given me a lump of coal. I waited a minute for him to get it, and was all set to wave my left hand wildly in his face when he laughed.  I've developed a really obnoxious habit. Whenever Will leaves the apartment - even if it is just to run down the hall to the trash cute - I say, ""Go with God."" I think I also said this to him once when he was headed to the bathroom. I really don't know what has gotten into me."	f
